Locatie;categorie;X;Y;WS code;TOX code;jaar;maand;Fase 1;Fase 2;Fase 3;watervlo veld;bact;alg;watervlo;cytotox polair;cytotox apolair;ER;anti-AR;GR;anti-PR;antibio;PAK;PPARg;Nrf2;PXR;p53-;p53+;SRI 1.2;;;;;;;;;;
Zuider Legmeerpolder;agrarisch;112421;472250;ZLP039;ZLP6a;2013;juli;0.34;;;0.00;0.05;0.02;0.07;;;1.26;0.54;0.00;;0.00;;0.32;;;0.00;;0.34;;;;;;;;;;
Vecht Maarssen;RWZI;130909;462647;KRW-sp;VEM;2011;aug;0.34;;;;0.06;0.05;0.04;;0.00;0.81;0.47;0.00;;0.00;0.50;0.08;;;0.12;;0.34;;;;;;;;;;
Nederhorst, jachthaven;haven;131964;476197;SBP017;;2019;sept;0.34;;;0.10;0.03;0.00;0.01;0.18;0.00;0.13;0.24;0.00;0.11;0.00;0.08;0.48;0.15;1.59;0.03;0.00;0.34;;;;;;;;;;
Waterleidingkanaal;agrarisch;131687;463191;DW;GBPb;2015;sept;0.32;;;;0.01;0.00;0.01;0.00;0.00;1.46;0.43;0.00;;0.01;0.15;0.00;0.57;0.04;0.00;0.00;0.32;;;;;;;;;;
Vecht Loenen;stad&div;130381;475702;VEC004;VEL;2012;juli;0.32;;;0.00;0.24;0.04;0.24;;;0.11;0.30;0.00;;0.00;1.09;0.44;;;0.00;;0.32;;;;;;;;;;
Waterleidingplas;referentie;131341;469389;WLP001;WLPb;2015;dec;0.30;;;0.50;0.00;0.00;0.00;;0.00;0.03;0.21;0.00;;0.07;0.21;0.36;0.41;0.45;0.00;0.00;0.30;;;;;;;;;;
Waterleidingkanaal;agrarisch;131216;469122;KRW-sp;GBPa;2011;aug;0.28;;;;0.00;0.05;0.02;;0.00;0.87;0.23;0.00;;0.00;0.14;0.11;;;0.14;;0.28;;;;;;;;;;
Naardermeer;referentie;136371;480186;NAP201;NAM;2015;dec;0.28;;;0.00;0.04;0.00;0.00;;0.00;0.04;0.08;0.00;;0.00;0.30;0.51;0.41;0.91;0.00;1.30;0.28;;;;;;;;;;
Lekkanaal;referentie;136190;448809;DW;LEKa;2015;juli;0.25;;;0.25;0.01;0.00;0.02;0.00;0.00;0.24;0.79;0.00;;0.01;0.32;0.00;0.38;0.03;0.00;0.00;0.25;;;;;;;;;;
Westeinderplassen (RL);referentie;110156;472039;WEP001;AVPb;2016;mei;0.23;;;0.00;0.03;0.00;0.05;;0.00;0.06;0.26;0.00;0.00;0.55;0.13;0.00;0.28;0.68;0.00;0.00;0.23;;;;;;;;;;
Smal Weesp;referentie;130991;480103;SMW001;SMW;2012;juli;0.22;;;0.00;0.13;0.02;0.02;;;0.27;0.48;0.00;;0.00;0.35;0.37;;;0.00;;0.22;;;;;;;;;;
Maarseveen Zodden;referentie;133020;462246;KRW-sp;MZD;2011;aug;0.22;;;;0.07;0.13;0.04;;0.00;0.09;0.40;0.00;;0.00;0.23;0.21;;;0.00;;0.22;;;;;;;;;;
Waterleidingplas;referentie;131213;469140;WLP001;WLPa;2012;juli;0.17;;;0.00;0.15;0.00;0.00;;0.00;0.02;0.18;0.00;;0.00;0.09;0.55;;;0.00;;0.17;;;;;;;;;;
