fewsparameter;Var.2;1000-EAG-1;1000-EAG-2;1000-EAG-3;1000-EAG-4;1010-EAG-1;1060-EAG-1;2000-EAG-1;2000-EAG-2;2000-EAG-3;2000-EAG-4;2000-EAG-5;2000-EAG-6;2000-EAG-7;2010-EAG-1;2010-EAG-2;2020-EAG-1;2030-EAG-1;2040-EAG-1;2100-EAG-1;2110-EAG-1;2110-EAG-2;2110-EAG-3;2110-EAG-4;2110-EAG-5;2120-EAG-1;2120-EAG-2;2120-EAG-3;2130-EAG-1;2140-EAG-1;2140-EAG-3;2140-EAG-4;2140-EAG-6;2150-EAG-3;2160-EAG-1;2200-EAG-1;2210-EAG-1;2220-EAG-1;2220-EAG-2;2220-EAG-3;2230-EAG-1;2230-EAG-2;2240-EAG-1;2250-EAG-1;2250-EAG-2;2250-EAG-3;2250-EAG-4;2250-EAG-5;2250-EAG-7;2270-EAG-1;2280-EAG-1;2290-EAG-1;2300-EAG-1;2310-EAG-1;2330-EAG-1;2340-EAG-1;2350-EAG-1;2380-EAG-1;2400-EAG-1;2400-EAG-2;2400-EAG-3;2400-EAG-4;2400-EAG-5;2410-EAG-1;2500-EAG-1;2500-EAG-2;2500-EAG-3;2500-EAG-4;2500-EAG-5;2500-EAG-6;2501-EAG-1;2501-EAG-2;2502-EAG-1;2503-EAG-1;2504-EAG-1;2505-EAG-1;2506-EAG-1;2510-EAG-1;2510-EAG-2;2510-EAG-3;2511-EAG-1;2512-EAG-1;2520-EAG-1;2520-EAG-4;2530-EAG-1;2530-EAG-2;2540-EAG-1;2540-EAG-2;2540-EAG-3;2540-EAG-4;2550-EAG-1;2550-EAG-2;2550-EAG-4;2550-EAG-5;2560-EAG-1;2560-EAG-2;2570-EAG-1;2570-EAG-2;2600-EAG-1;2600-EAG-2;2600-EAG-4;2600-EAG-6;2600-EAG-9;2610-EAG-1;2620-EAG-1;2630-EAG-1;2630-EAG-3;3000-EAG-1;3020-EAG-1;3040-EAG-1;3050-EAG-1;3070-EAG-1;3070-EAG-2;3100-EAG-1;3100-EAG-10;3100-EAG-2;3100-EAG-3;3100-EAG-4;3100-EAG-5;3100-EAG-9;3110-EAG-1;3110-EAG-2;3110-EAG-3;3110-EAG-4;3110-EAG-5;3200-EAG-1;3200-EAG-2;3201-EAG-1;3201-EAG-2;3201-EAG-3;3210-EAG-1;3210-EAG-2;3210-EAG-3;3220-EAG-2;3220-EAG-3;3230-EAG-1;3230-EAG-2;3230-EAG-3;3230-EAG-4;3230-EAG-5;3230-EAG-6;3240-EAG-1;3250-EAG-1;3260-EAG-1;3300-EAG-1;3300-EAG-10;3300-EAG-11;3300-EAG-12;3300-EAG-3;3300-EAG-4;3300-EAG-5;3300-EAG-6;3300-EAG-7;3300-EAG-8;3300-EAG-9;3301-EAG-1;3302-EAG-1;3302-EAG-2;3310-EAG-2;3311-EAG-1;3311-EAG-2;3311-EAG-3;3311-EAG-7;3320-EAG-1;3320-EAG-2;3320-EAG-3;3320-EAG-4;3340-EAG-1;3340-EAG-2;3340-EAG-3;3350-EAG-1;3360-EAG-1;3360-EAG-10;3360-EAG-11;3360-EAG-12;3360-EAG-13;3360-EAG-14;3360-EAG-15;3360-EAG-16;3360-EAG-17;3360-EAG-18;3360-EAG-2;3360-EAG-3;3360-EAG-4;3360-EAG-5;3360-EAG-9;3370-EAG-1;3370-EAG-2;3370-EAG-3;3370-EAG-4;3370-EAG-5;4000-EAG-1;4000-EAG-2;4000-EAG-3;4000-EAG-4;4000-EAG-6;4000-EAG-7;4000-EAG-8;4100-EAG-1;4110-EAG-1;4110-EAG-2;4120-EAG-1;4120-EAG-2;4130-EAG-1;4140-EAG-1;4140-EAG-2;4140-EAG-3;4140-EAG-4;4200-EAG-2;4200-EAG-3;4210-EAG-1;4210-EAG-2;4210-EAG-3;4210-EAG-4;4210-EAG-5;4230-EAG-1;4240-EAG-1;4250-EAG-1;5000-EAG-1;6000-EAG-1;6040-EAG-1;6050-EAG-1;6060-EAG-1;6080-EAG-1;6100-EAG-1;6100-EAG-2;6110-EAG-1;6400-EAG-1;6400-EAG-2;6420-EAG-1;6430-EAG-1;6440-EAG-1;6450-EAG-1;6460-EAG-1;6460-EAG-2;6480-EAG-1;6480-EAG-2;6490-EAG-1;6500-EAG-1;6510-EAG-1;6530-EAG-1;6530-EAG-2;6540-EAG-1;6540-EAG-2;6540-EAG-3;6550-EAG-1;6570-EAG-1;7000-EAG-1;7010-EAG-1;7010-EAG-2;7020-EAG-1;7040-EAG-1;7050-EAG-1;7060-EAG-1;7100-EAG-1;7100-EAG-2;8000-EAG-1;8010-EAG-1;8010-EAG-2;8020-EAG-1;8030-EAG-1;8030-EAG-2;8030-EAG-3;8030-EAG-5;8040-EAG-1;8050-EAG-2;8050-EAG-3;8060-EAG-1;8070-EAG-1;8070-EAG-2;8080-EAG-2;8090-EAG-1;8090-EAG-2;9010-EAG-1;9020-EAG-1;9030-EAG-1;9040-EAG-1
LINRN;9.05083333333333;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MALTON;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MBTAZRN;9.22;0.005;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCPA;1.53416666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCPP;1.8675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
metbzn;9.38666666666667;0.005;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
METCB;9.88666666666667;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
METDTN;3.06916666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
metpll;10.0533333333333;0.13;;;;;;;;;;;0.13125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
METXRN;10.22;0.005;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MEVP;6.73833333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MLAXL;3.56666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MONSDTE;29.1666666666667;30;;;;26.6666666666667;30;30;30;26.25;30;30;30;30;30;23.3333333333333;30;30;30;26.6666666666667;30;20;25;30;;30;;;30;30;30;30;;30;30;26.6666666666667;30;1150.76081007115;;21.6666666666667;;30;30;1634.96212121212;;30;26.6666666666667;20;;30;30;20;30;30;22.7777777777778;28.3333333333333;25;15;30;;;12.5;18.3333333333333;30;30;23.3333333333333;30;30;1628.49527665317;29.4444444444444;;20;27.5;30;26.6666666666667;30;;29;20;27.5;30;30;30;;30;30;30;26.25;15;22.5;30;30;30;25;29.1666666666667;30;30;;30;;;;22.5;30;30;30;;30;27.5;30;30;30;30;30;18.3333333333333;30;28.6666666666667;30;30;;21.6666666666667;10;30;21.6666666666667;30;1470.45227045227;30;30;30;30;28.3333333333333;20;30;17.7777777777778;30;30;1051.88034188034;29.5833333333333;;30;30;30;;26.6666666666667;30;25.5555555555556;24.1666666666667;18.3333333333333;30;30;30;30;30;30;30;30;24.1666666666667;27.7777777777778;30;28.3333333333333;;;;30;30;30;30;30;10;10;30;10;30;950.925925925926;30;30;30;23.3333333333333;30;20.3015873015873;;20;30;30;;30;30;;;;;28.3333333333333;30;30;27.2222222222222;30;30;30;26.6666666666667;28.3333333333333;30;25;20;30;;;;;30;;30;30;30;22.7777777777778;30;30;30;30;19.1666666666667;30;30;30;25;30;1259.65811965812;30;30;30;30;20;22.3333333333333;30;30;30;;28.3333333333333;;22.5;30;30;30;;30;;30;27.5;22.5;30;23.8888888888889;26.6666666666667;27.5;20;30;30;22.5;30;30;30;30;30;;30;30;25;30;30;30;30;1643.4595959596;29.7222222222222;30;30;30;30;30;30;30
MTLCL;9.55083333333333;0.00625;;;;;;;;;;;0.0034375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTMT;9.71833333333333;0.005;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTZCL;2.73333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYAZP;;0.0075;;;;;;;;;;;0.0075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYBRP;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYPMF;5.06416666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYPRTON;4.07166666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYTCP;6.8975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;2.63638888888889;3.1331746031746;;2.3;;2.71666666666667;2.45;3.20069444444444;3.72861952861953;2.20352564102564;2.44027777777778;3.95926541159099;3.53777777777778;2.5462962962963;1.86666666666667;2.31888888888889;3.3;3.36111111111111;3.41666666666667;3.34700854700855;3.49722222222222;;3.14166666666667;4.78333333333333;;3.80555555555556;;;3.13333333333333;2.45;3.625;3.88333333333333;;7.05833333333333;2.99444444444444;4.12222222222222;2.89166666666667;1.80407407407407;;;;2.56388888888889;5.43888888888889;1.61851851851852;;2.7;4.05185185185185;3.1;;3.96666666666667;2.33055555555556;4.26111111111111;2.8;2.925;2.64444444444444;1.51833333333333;3.5;2.8;4.20833333333333;;;;8.61666666666667;2.80833333333333;4.34854497354497;3.00555555555556;2.61111111111111;1.61111111111111;1.46420634920635;4.58376906318083;;3.13888888888889;2.2375;7.62222222222222;4.01111111111111;2.53333333333333;;2.658;2.9;3.6875;3.04444444444444;2.63333333333333;5.03333333333333;;3.85555555555556;2.36666666666667;5.61111111111111;10.2458333333333;;5.15833333333333;1.68333333333333;2.32916666666667;1.67916666666667;3.60416666666667;2.53560606060606;3.68833333333333;2.88888888888889;;4.55833333333333;;;;11.0940476190476;2.975;3.45;4.05555555555556;;2.67104166666667;1.85833333333333;2.10833333333333;1.68666666666667;2.55555555555556;2.25555555555556;1.35583333333333;2.07222222222222;1.55;1.76888888888889;1.62222222222222;2.70555555555556;;2.28333333333333;2.44166666666667;2.94166666666667;3.92222222222222;2.12222222222222;1.24;3.075;1.51416666666667;1.465;1.75555555555556;4.02222222222222;7;3.8;1.75555555555556;2.82222222222222;2.12759259259259;1.04788888888889;1.73194444444444;;1.89444444444444;1.88092592592593;1.97777777777778;;1.97777777777778;1.97962962962963;1.91953703703704;2.18055555555556;2.5;1.53333333333333;1.54444444444444;1.73333333333333;1.51666666666667;1.56111111111111;2.47777777777778;2.20833333333333;2.5;1.72472222222222;1.31833333333333;2;2.39444444444444;;;;2.41666666666667;1.91111111111111;2.99166666666667;1.35083333333333;2.71666666666667;4.3;3.16666666666667;3.50555555555556;4;1.2075;1.24883333333333;1.82222222222222;2.13333333333333;2.43333333333333;3.16666666666667;1.85;1.42490740740741;;2.31666666666667;2.42777777777778;1.345;;1.23833333333333;2.61111111111111;;;;;2.18611111111111;1.35055555555556;2.02777777777778;1.87537037037037;2.21666666666667;2.29444444444444;1.63333333333333;2.33611111111111;3.57777777777778;7.4;2.41666666666667;2.5;2.28888888888889;;;;;3.11111111111111;;1.91666666666667;1.75555555555556;2.22777777777778;2.01666666666667;1.85555555555556;1.84;1.97796296296296;1.55833333333333;3.65;;;;2.31666666666667;;1.28159722222222;1.64666666666667;2.85833333333333;2.91944444444444;3.67222222222222;4.23333333333333;2.29;1.62222222222222;1.99166666666667;2.20833333333333;;2.96111111111111;;7.10833333333333;1.53333333333333;1.93333333333333;2.37361111111111;;2.43333333333333;;2.26666666666667;1.67375;1.9975;1.88888888888889;2.69722222222222;1.21388888888889;1.19888888888889;2.5;1.41666666666667;1.36916666666667;1.20638888888889;2.69166666666667;1.97777777777778;1.6;1.82222222222222;2.07777777777778;;4.70555555555556;2.4;3.45555555555556;5.93888888888889;1.88333333333333;1.7;2.05;1.77162790697674;2.50426731078905;2.1;2.55555555555556;2.15;;2.73333333333333;1.6;1.88333333333333
NAF;;0.0075;;;;;;;;;;;0.0146666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NH3;0.00605555555555556;0.00511111111111111;;;;0.0231666666666667;0.0075;0.00620277777777778;0.00933333333333333;0.0025;0.00261111111111111;0.0210912698412698;0.00991666666666667;0.0025;0.00316666666666667;0.00694444444444444;0.0338888888888889;0.00944444444444444;0.0197777777777778;0.0288333333333333;0.0245277777777778;0.00433333333333333;0.00566666666666667;0.00275;;0.00988888888888889;;0.01075;0.006;0.0075;0.0173333333333333;0.00741666666666667;;0.00916666666666667;0.0175;0.0085;0.00466666666666667;0.00246719576719577;;;;0.00380555555555556;0.0107222222222222;0.00298148148148148;;0.00716666666666667;0.0151481481481481;0.0115;;0.00661111111111111;0.00341666666666667;0.00827777777777778;0.00191666666666667;0.00141666666666667;0.00605555555555556;0.00161111111111111;0.00488888888888889;0.021;0.00308333333333333;;;0.00075;0.01075;0.00366666666666667;0.0244494708994709;0.00533333333333333;0.00738888888888889;0.00505555555555556;0.00248412698412698;0.00584749455337691;;0.00244444444444444;0.00291666666666667;0.0308888888888889;0.0035;0.0029;;0.00168333333333333;0.000166666666666667;0.0025;0.00683333333333333;0.00266666666666667;0.0165;;0.0108888888888889;0.00466666666666667;0.0335555555555556;0.0537916666666667;0.012;0.0206666666666667;0.005375;0.015625;0.00185416666666667;0.00754166666666667;0.00267424242424242;0.00506666666666667;0.00338888888888889;;0.0381666666666667;;;;0.0450833333333333;0.00825;0.00658333333333333;0.00311111111111111;;0.00434722222222222;0.0103690476190476;0.001;0.00331666666666667;0.00194444444444444;0.00488888888888889;0.000638888888888889;0.00105555555555556;0.00288888888888889;0.00152777777777778;0.00133333333333333;0.00844444444444444;;0.00225;0.00275;0.000875;0.00416666666666667;0.00194444444444444;0.000920634920634921;8.33333333333333e-05;0.000888888888888889;0.000444444444444444;0.00194444444444444;0.00605555555555556;0.0035;0.001;0.00666666666666667;0.0161666666666667;0.0012037037037037;0.00147777777777778;0.00471296296296296;;0.000611111111111111;0.00701851851851852;0.00216666666666667;;0.00166666666666667;0.00296296296296296;0.000398148148148148;0.000861111111111111;0.000277777777777778;0.00255555555555556;0.00127777777777778;0.00205555555555556;0.000277777777777778;5e-04;0.00461111111111111;0.000527777777777778;0.00133333333333333;0.000194444444444444;0.00216884531590414;0.03675;0.00838888888888889;;;;0.002625;0.00908333333333333;0.00954166666666667;0.00616666666666667;0.004;0.011;0.00316666666666667;0.00211111111111111;0.011;0.000722222222222222;0.00166666666666667;0.000111111111111111;0.00213888888888889;0.00325;0.000777777777777778;0.00207954545454545;0.000746031746031746;;0.00158333333333333;0.00194444444444444;0.00125;;0.00808333333333333;0.00272222222222222;;;;;0.00116666666666667;0.000333333333333333;0.00205555555555556;0.00222222222222222;0.00561111111111111;0.00155555555555556;0.00155555555555556;0.00222222222222222;0.0110277777777778;0.033;0.00438888888888889;0;0.00205555555555556;;;;;0.00266666666666667;;0.00155555555555556;0.00238888888888889;0.00888888888888889;0.00263888888888889;0.00288888888888889;0.00144444444444444;0.00114814814814815;0.000833333333333333;0.00113888888888889;;0.00716666666666667;0.0075;0.0065;0.00683333333333333;0.00263888888888889;0.0114166666666667;0.0324166666666667;0.00719444444444444;0.0127222222222222;0.00816666666666667;0.00413131313131313;0.00188888888888889;0.00183333333333333;0.003;;0.00416666666666667;;0.0118333333333333;0.00183333333333333;0.0035;0.00169444444444444;;0.00261111111111111;;0.00216666666666667;0.00266666666666667;0.00516666666666667;0.00466666666666667;0.00301851851851852;0.00138888888888889;0.000694444444444444;0.0145833333333333;0.00175;0.00566666666666667;0.000722222222222222;0.00266666666666667;0.0015;0;;0.00416666666666667;;0.0280296296296296;0.001;0.0158333333333333;0.00927777777777778;;0;0.0035;0.00227906976744186;0.00802333333333333;0.00336111111111111;0.0065;0.00144444444444444;0.00316666666666667;0.00216666666666667;0.003;0.00333333333333333
